,연도,월,순위,곡명,가수명
0,2020,8,1,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)"
1,2020,8,2,마리아 (Maria),화사 (Hwa Sa)
2,2020,8,3,How You Like That,BLACKPINK
3,2020,8,4,그 여름을 틀어줘,"싹쓰리 (유두래곤, 린다G, 비룡)"
4,2020,8,5,Summer Hate (Feat. 비),지코 (ZICO)
5,2020,8,6,눈누난나 (NUNU NANA),제시 (Jessi)
6,2020,8,7,Downtown Baby,블루 (BLOO)
7,2020,8,8,에잇(Prod.&Feat. SUGA of BTS),아이유
8,2020,8,9,여름 안에서 by 싹쓰리 (Feat. 황광희),"싹쓰리 (유두래곤, 린다G, 비룡)"
9,2020,8,10,Dolphin,오마이걸 (OH MY GIRL)
10,2020,8,11,아로하,조정석
11,2020,8,12,홀로,이하이
12,2020,8,13,LINDA (Feat. 윤미래),린다G
13,2020,8,14,보라빛 밤 (pporappippam),선미
14,2020,8,15,신난다 (Feat. 마마무),비룡
15,2020,8,16,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL)
16,2020,8,17,Dance Monkey,Tones And I
17,2020,8,18,어떻게 지내 (Prod. By VAN.C),오반 (OVAN)
18,2020,8,19,사랑하게 될 줄 알았어,전미도
19,2020,8,20,Memories,Maroon 5
20,2020,8,21,취기를 빌려 (취향저격 그녀 X 산들),산들
21,2020,8,22,METEOR,창모 (CHANGMO)
22,2020,8,23,덤디덤디 (DUMDi DUMDi),(여자)아이들
23,2020,8,24,Blueming,아이유
24,2020,8,25,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
25,2020,8,26,Into the I-LAND,아이유
26,2020,8,27,Don't Start Now,Dua Lipa
27,2020,8,28,아무노래,지코 (ZICO)
28,2020,8,29,Dynamite,방탄소년단
29,2020,8,30,처음처럼,엠씨더맥스 (M.C the MAX)
30,2020,8,31,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
31,2020,8,32,시작,가호 (Gaho)
32,2020,8,33,사랑은 지날수록 더욱 선명하게 남아,전상근
33,2020,8,34,MORE & MORE,TWICE (트와이스)
34,2020,8,35,2002,Anne-Marie
35,2020,8,36,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
36,2020,8,37,늦은 밤 너의 집 앞 골목길에서,노을
37,2020,8,38,PLAY (Feat. 창모),청하
38,2020,8,39,좋은 사람 있으면 소개시켜줘,조이 (JOY)
39,2020,8,40,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기
40,2020,8,41,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
41,2020,8,42,When We Disco (Duet with 선미),박진영
42,2020,8,43,마음을 드려요,아이유
43,2020,8,44,ON,방탄소년단
44,2020,8,45,Monster,레드벨벳-아이린&슬기
45,2020,8,46,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
46,2020,8,47,거짓말이라도 해서 널 보고싶어,백지영
47,2020,8,48,Psycho,Red Velvet (레드벨벳)
48,2020,8,49,우리 왜 헤어져야 해,신예영
49,2020,8,50,Maniac,Conan Gray
50,2020,8,51,이제 나만 믿어요,임영웅
51,2020,8,52,오래된 노래,스탠딩 에그
52,2020,8,53,안녕,폴킴
53,2020,8,54,Paris In The Rain,Lauv
54,2020,8,55,화려하지 않은 고백,규현 (KYUHYUN)
55,2020,8,56,그때 그 아인,김필
56,2020,8,57,덤더럼 (Dumhdurum),Apink (에이핑크)
57,2020,8,58,어떻게 지내 (답가),런치
58,2020,8,59,봄날,방탄소년단
59,2020,8,60,취했나봐,황인욱
60,2020,8,61,"너에게 난, 나에게 넌",미도와 파라솔
61,2020,8,62,첫 줄,신용재 (2F)
62,2020,8,63,깡 Official Remix,"식케이 (Sik-K), pH-1, 박재범, 김하온 (HAON)"
63,2020,8,64,돌덩이,하현우 (국카스텐)
64,2020,8,65,Love poem,아이유
65,2020,8,66,환상동화 (Secret Story of the Swan),IZ*ONE (아이즈원)
66,2020,8,67,반만,진민호
67,2020,8,68,두리쥬와 (Feat. S.B.N),유두래곤
68,2020,8,69,FIESTA,IZ*ONE (아이즈원)
69,2020,8,70,Stuck with U,"Ariana Grande, Justin Bieber"
70,2020,8,71,Not Shy,ITZY (있지)
71,2020,8,72,Painkiller,Ruel
72,2020,8,73,비,폴킴
73,2020,8,74,너를 사랑하고 있어,백현 (BAEKHYUN)
74,2020,8,75,What You Waiting For,전소미
75,2020,8,76,00:00 (Zero O’Clock),방탄소년단
76,2020,8,77,WANNABE,ITZY (있지)
77,2020,8,78,내 눈물 모아,휘인 (Whee In)
78,2020,8,79,그대 고운 내사랑,어반자카파
79,2020,8,80,Black Swan,방탄소년단
80,2020,8,81,12:45 (Stripped),Etham
81,2020,8,82,HIP,마마무 (Mamamoo)
82,2020,8,83,To Die For,Sam Smith
83,2020,8,84,bad guy,Billie Eilish
84,2020,8,85,Left & Right,세븐틴
85,2020,8,86,아직 너의 시간에 살아,이수현
